
Weight (g)	Juice Yield (mL)	Size
13	6.0	Medium
13	4.8	Medium
13	5.1	Medium
13	5.4	Medium
13	5.4	Medium
13	5.6	Medium
13	5.8	Medium
13	5.4	Medium
13	5.8	Medium
13	4.8	Medium
13	5.0	Medium
13	5.0	Medium
13	5.8	Medium
13	5.2	Medium
13	6.0	Medium
13	5.4	Medium
13	5.6	Medium
13	6.6	Medium
13	5.0	Medium
13	5.0	Medium
13	5.2	Medium
13	5.4	Medium
13	5.4	Medium
13	5.0	Medium
13	6.0	Medium
13	5.4	Medium
13	5.8	Medium
13	6.6	Medium
13	5.2	Medium
13	6.6	Medium
13	5.4	Medium
13	5.8	Medium
13	6.3	Medium
13	4.4	Medium
13	4.8	Medium
13	5.6	Medium
13	5.2	Medium
13	5.2	Medium
13	5.0	Medium
13	5.2	Medium
13	5.6	Medium
13	6.0	Medium
13	6.0	Medium
13	5.6	Medium
13	6.0	Medium
13	5.0	Medium
13	5.4	Medium
13	5.4	Medium
13	5.6	Medium
13	5.2	Medium
13	5.4	Medium
13	5.3	Medium
13	5.2	Medium
13	5.0	Medium
13	5.4	Medium
13	5.4	Medium
13	5.6	Medium
13	5.2	Medium
13	5.0	Medium
13	5.2	Medium
13	5.6	Medium
13	5.8	Medium
13	6.1	Medium
13	5.8	Medium
13	6.1	Medium
13	6.0	Medium
13	5.4	Medium
13	5.4	Medium
13	5.4	Medium
13	5.4	Medium
13	5.6	Medium
13	5.0	Medium
13	5.4	Medium
13	5.6	Medium
13	5.0	Medium
13	5.6	Medium
13	6.2	Medium
14	6	Medium

Grams	mL	Size
11	4.2	Medium
11	4.2	Medium
11	4.6	Medium
11	4.3	Medium
11	4.1	Medium
11	3.7	Medium
11	4.6	Medium
11	4.4	Medium
11	4.3	Medium
11	4.6	Medium
11	4.4	Medium
11	3.8	Medium
11	3.8	Medium
11	4.0	Medium
11	4.4	Medium
11	5.7	Medium
11	4.2	Medium
11	5.2	Medium
11	5.1	Medium
11	4.2	Medium
11	4.4	Medium
11	4.4	Medium
11	4.9	Medium
11	4.0	Medium
11	3.8	Medium
11	4.0	Medium
11	5.2	Medium
11	4.6	Medium
11	5.0	Medium
11	4.8	Medium
11	4.2	Medium
11	4.6	Medium
11	4.2	Medium
11	4.4	Medium
11	4.0	Medium
11	3.9	Medium
12	4.6	Medium
12	5.3	Medium
12	4.6	Medium
12	5.0	Medium
12	4.8	Medium
12	4.6	Medium
12	5.0	Medium
12	4.0	Medium
12	5.2	Medium
12	4.9	Medium
12	5.1	Medium
12	4.5	Medium
12	5.3	Medium
12	5.3	Medium
12	5.0	Medium
12	5.6	Medium
12	4.2	Medium
12	4.6	Medium
12	5.4	Medium
12	5.3	Medium
12	5.0	Medium
12	4.6	Medium
12	5.6	Medium
12	5.8	Medium
12	5.7	Medium
12	5.5	Medium
12	5.7	Medium
12	5.4	Medium
12	5.0	Medium
12	5.6	Medium
12	5.5	Medium
12	4.6	Medium
12	5.0	Medium
12	5.2	Medium
12	5.5	Medium
12	4.6	Medium
12	5.0	Medium
13	5.3	Medium
13	5.0	Medium
13	5.6	Medium
13	5.8	Medium
13	5.4	Medium
13	5.2	Medium
13	5.4	Medium
13	5.4	Medium
13	5.0	Medium
13	5.2	Medium
13	5.3	Medium
13	5.4	Medium




Large
Grams	mL	Size
20	9.1	Large
19	8.6	Large
19	8.3	Large
18	9.1	Large
18	9.2	Large
17	8.3	Large
17	7.7	Large
17	8.2	Large
17	7.1	Large
17	8.0	Large
17	8.1	Large
17	7.0	Large
16	6.9	Large
16	7.6	Large
16	7.5	Large
16	7.6	Large
16	7.6	Large
16	7.9	Large
16	7.9	Large
16	8.4	Large
16	7.5	Large
16	8.3	Large
16	7.4	Large
16	8.0	Large
16	6.8	Large
16	7.4	Large
16	8.1	Large
16	8.7	Large
15	6.8	Large
15	7.2	Large
15	7.3	Large
15	7.8	Large
15	7.2	Large
15	7.0	Large
15	7.9	Large
15	6.4	Large
15	7.2	Large
15	7.1	Large
15	6.8	Large
15	6.8	Large
15	7.0	Large
15	6.8	Large
15	7.2	Large
15	7.9	Large
15	7.3	Large
15	7.0	Large
15	7.4	Large
15	6.9	Large
15	6.6	Large
15	7.3	Large
15	7.1	Large
15	7.9	Large
15	6.0	Large
15	6.5	Large
15	6.8	Large
15	7.2	Large
15	6.5	Large
15	7.1	Large
15	6.4	Large
15	7.0	Large
15	7.1	Large
15	6.6	Large
15	7.1	Large
15	7.7	Large
Small
Grams	mL	Size
10	4.0	Small
10	3.7	Small
10	4.8	Small
10	4.7	Small
10	3.9	Small
10	4.2	Small
10	3.6	Small

Medium 
Grams	mL	Size
14	6.0	Medium
14	6.2	Medium
14	5.4	Medium
14	6.0	Medium
14	5.8	Medium
14	6.3	Medium
14	6.2	Medium
14	6.2	Medium
14	6.6	Medium
14	6.0	Medium
14	6.0	Medium
14	6.7	Medium
14	6.4	Medium
14	5.4	Medium
14	5.8	Medium
14	7.0	Medium
14	6.0	Medium
14	6.4	Medium
14	6.0	Medium
14	6.1	Medium
14	5.8	Medium
14	6.6	Medium
14	6.2	Medium
14	6.2	Medium
14	6.4	Medium
14	6.4	Medium
14	6.4	Medium
14	5.2	Medium
14	7.2	Medium
14	6.1	Medium
14	6.8	Medium
14	6.8	Medium
14	6.2	Medium
14	6.4	Medium
14	6.0	Medium
14	5.1	Medium
14	6.6	Medium
14	6.2	Medium
14	7.0	Medium
14	6.6	Medium
14	6.0	Medium
14	5.3	Medium
14	6.1	Medium
14	7.8	Medium
14	6.4	Medium
14	7.0	Medium
14	6.8	Medium
Small
Grams	mL	Size
8	3.0	Small
8	3.0	Small
8	3.0	Small
8	2.8	Small
9	4.2	Small
9	3.3	Small
10	4.0	Small
10	5.0	Small
10	4.0	Small
10	4.1	Small
10	3.6	Small
10	4.4	Small
10	4.1	Small
10	3.8	Small
10	4.0	Small
10	3.9	Small
10	3.6	Small
