Weight,Size,Juice
9,1,3.0
8,1,2.8
8,1,3.4
8,1,3.1
9,1,2.6
9,1,2.8
9,1,3.8
9,1,2.2
9,1,3.2
9,1,4.1
9,1,2.0
8,1,2.9
7,1,1.8
7,1,2.8
8,1,2.6
9,1,3.4
9,1,3.7
9,1,3.0
9,1,3.1
9,1,3.9
9,1,2.9
7,1,1.2
7,1,2.3
8,1,3.0
8,1,3.7
9,1,2.7
7,1,2.2
9,1,3.8
8,1,2.8
9,1,3.8
7,1,2.9
7,1,1.7
8,1,3.0
6,1,1.0
8,1,2.8
6,1,2.0
7,1,3.0
8,1,2.7
9,1,3.1
6,1,1.8
7,1,2.2
9,1,2.9
7,1,3.0
6,1,2.2
7,1,3.2
7,1,3.2
7,1,2.5
7,1,2.2
8,1,3.4
6,1,2.2
8,1,3.2
8,1,3.1
6,1,2.8
8,1,3.6
8,1,3.0
8,1,2.2
9,1,2.3
7,1,4.4
8,1,2.0
6,1,3.0
5,1,3.2
8,1,2.2
7,1,2.2
7,1,2.9
7,1,3.0
9,1,3.3
7,1,2.6
7,1,2.6
7,1,2.6
7,1,2.7
8,1,2.1
8,1,2.4
6,1,4.6
7,1,2.6
9,1,2.0
6,1,2.2
7,1,3.4
6,1,2.2
8,1,3.7
6,1,2.3
9,1,4.1
7,1,1.1
7,1,2.5
8,1,3.0
7,1,2.6
8,1,3.2
10,1,4.0
7,1,2.6
6,1,1.3
6,1,2.6
7,1,3.2
7,1,3.0
6,1,1.8
6,1,2.4
7,1,2.6
7,1,2.5
7,1,2.7
7,1,2.2
6,1,2.2
7,1,2.2
6,1,2.9
8,1,2.2
8,1,2.0
8,1,3.4
9,1,4.0
8,1,2.6
9,1,3.6
7,1,2.6
8,1,2.7
7,1,1.8
8,1,3.8
6,1,1.6
7,1,3.0
8,1,2.8
8,1,3.7
7,1,2.2
6,1,2.2
7,1,2.2
7,1,2.9
8,1,3.2
7,1,3.4
8,1,2.6
8,1,3.4
7,1,2.4
7,1,3.0
9,1,2.8
9,1,2.0
10,1,4.4
10,1,3.7
9,1,3.2
9,1,2.9
7,1,1.6
10,1,1.9
9,1,3.1
9,1,3.8
7,1,2.2
11,2,5.6
12,2,4.3
13,2,5.6
12,2,3.7
11,2,5.2
13,2,4.4
14,2,5.3
13,2,4.8
10,2,4.5
10,2,3.3
11,2,3.8
12,2,4.0
13,2,6.4
12,2,4.2
10,2,3.4
13,2,5.2
11,2,3.2
10,2,4.8
10,2,3.2
12,2,5.4
12,2,5.0
11,2,4.5
12,2,4.0
12,2,3.7
12,2,5.1
12,2,4.9
11,2,3.8
10,2,4.8
10,2,4.8
12,2,4.6
14,2,5.1
14,2,4.7
11,2,4.7
11,2,4.9
12,2,5.0
13,2,4.6
12,2,4.6
10,2,4.6
11,2,4.4
11,2,4.4
13,2,3.5
11,2,5.5
13,2,4.8
13,2,4.6
12,2,5.6
11,2,3.4
11,2,4.4
11,2,3.7
10,2,3.6
12,2,4.3
13,2,4.5
11,2,4.0
12,2,4.3
10,2,3.5
10,2,3.5
11,2,4.0
11,2,4.5
11,2,4.8
13,2,4.6
13,2,4.2
12,2,4.9
13,2,4.0
12,2,3.6
12,2,4.3
10,2,3.9
12,2,4.4
13,2,4.6
13,2,4.3
10,2,3.5
10,2,3.5
13,2,6.0
12,2,5.2
11,2,4.8
12,2,4.4
10,2,2.9
10,2,3.4
12,2,4.5
11,2,4.0
14,2,4.3
13,2,4.8
11,2,4.4
12,2,3.8
10,2,3.1
10,2,3.6
10,2,3.7
10,2,4.3
11,2,4.4
12,2,3.6
10,2,4.4
11,2,3.4
12,2,4.9
12,2,5.6
12,2,5.8
12,2,4.2
12,2,3.8
12,2,5.8
10,2,3.9
10,2,5.1
12,2,4.2
10,2,4.2
12,2,4.8
13,2,4.8
12,2,4.8
13,2,5.7
12,2,5.2
14,2,5.5
13,2,5.4
11,2,4.6
13,2,4.6
15,3,6.0
16,3,6.8
15,3,6.0
14,3,5.2
14,3,5.2
15,3,5.1
14,3,5.4
14,3,5.4
14,3,5.6
16,3,5.9
19,3,7.9
17,3,7.4
16,3,5.7
15,3,6.6
15,3,6.1
15,3,6.4
16,3,5.6
15,3,5.9
15,3,5.1
14,3,5.6
14,3,7.0
14,3,5.8
15,3,5.2
14,3,6.2
14,3,5.2
14,3,4.7
15,3,5.0
14,3,4.2
14,3,4.2
14,3,5.9
15,3,4.6
15,3,6.2
17,3,6.6
16,3,6.0
15,3,6.4
16,3,7.9
17,3,6.8
17,3,8.7
16,3,6.9
16,3,6.1
15,3,5.2
15,3,6.2
15,3,6.2
15,3,6.5
16,3,4.5
17,3,5.8
16,3,5.2
15,3,6.6
16,3,6.0
16,3,6.4
15,3,6.0
16,3,6.0
17,3,7.2
16,3,6.2
15,3,5.5
17,3,8.6
17,3,8.0
17,3,6.4
19,3,8.2
19,3,5.8
17,3,6.6
19,3,6.4
16,3,6.0
20,3,9.4
16,3,7.0
16,3,6.6
17,3,7.2
20,3,7.4
18,3,4.4
19,3,7.2
18,3,7.9
16,3,6.6
18,3,7.2
19,3,8.2
18,3,7.1
18,3,6.0
18,3,7.5
17,3,7.6
16,3,6.9
15,3,6.4
16,3,7.0
17,3,8.0
15,3,7.1
17,3,7.6
20,3,7.1
17,3,8.1
18,3,7.2
15,3,5.4
16,3,6.9
16,3,6.9
17,3,7.6
17,3,8.0
15,3,6.0
17,3,7.0
16,3,7.0
18,3,7.0
17,3,5.8
15,3,7.1
17,3,7.6
16,3,7.2
17,3,7.0
15,3,6.4
17,3,6.7
17,3,7.1
17,3,6.2
16,3,7.6
18,3,9.1
16,3,6.0
15,3,6.3
15,3,7.1
16,3,7.2
19,3,9.0
18,3,6.5
18,3,8.9
15,3,6.2
18,3,9.2
17,3,6.7
16,3,8.0
16,3,6.1
